Epoch:0083 train loss:1.351 acc:62.86 | val loss:1.440 acc:81.00
Epoch:0084 train loss:1.419 acc:55.00 | val loss:1.429 acc:80.20
Epoch:0085 train loss:1.360 acc:65.00 | val loss:1.419 acc:79.80
Epoch:0086 train loss:1.373 acc:58.57 | val loss:1.411 acc:80.00
Epoch:0087 train loss:1.342 acc:62.14 | val loss:1.405 acc:79.20
Epoch:0088 train loss:1.342 acc:67.14 | val loss:1.400 acc:79.60
Epoch:0089 train loss:1.265 acc:68.57 | val loss:1.396 acc:80.00
Epoch:0090 train loss:1.275 acc:64.29 | val loss:1.392 acc:79.60
Epoch:0091 train loss:1.397 acc:55.00 | val loss:1.389 acc:78.60
Epoch:0092 train loss:1.328 acc:61.43 | val loss:1.383 acc:78.40
Epoch:0093 train loss:1.297 acc:58.57 | val loss:1.374 acc:78.60
Epoch:0094 train loss:1.269 acc:65.00 | val loss:1.363 acc:78.80
Epoch:0095 train loss:1.284 acc:69.29 | val loss:1.351 acc:79.80
Epoch:0096 train loss:1.337 acc:61.43 | val loss:1.338 acc:80.00
Epoch:0097 train loss:1.309 acc:60.00 | val loss:1.328 acc:80.60
Epoch:0098 train loss:1.333 acc:60.00 | val loss:1.321 acc:80.80
Epoch:0099 train loss:1.354 acc:58.57 | val loss:1.314 acc:80.80
Epoch:0100 train loss:1.306 acc:56.43 | val loss:1.310 acc:80.40
Epoch:0101 train loss:1.331 acc:62.86 | val loss:1.304 acc:80.00
Epoch:0102 train loss:1.279 acc:65.00 | val loss:1.300 acc:79.80
Epoch:0103 train loss:1.281 acc:65.00 | val loss:1.297 acc:79.40
Epoch:0104 train loss:1.254 acc:60.71 | val loss:1.295 acc:79.80
Epoch:0105 train loss:1.294 acc:62.14 | val loss:1.295 acc:79.80
Epoch:0106 train loss:1.290 acc:60.71 | val loss:1.295 acc:80.60
Epoch:0107 train loss:1.257 acc:62.86 | val loss:1.295 acc:81.00
Epoch:0108 train loss:1.188 acc:65.71 | val loss:1.295 acc:80.80
Epoch:0109 train loss:1.267 acc:65.71 | val loss:1.294 acc:79.60
Epoch:0110 train loss:1.259 acc:70.00 | val loss:1.291 acc:78.40
Epoch:0111 train loss:1.224 acc:73.57 | val loss:1.290 acc:77.80
Epoch:0112 train loss:1.228 acc:69.29 | val loss:1.286 acc:77.20
Epoch:0113 train loss:1.237 acc:67.86 | val loss:1.282 acc:76.80
Epoch:0114 train loss:1.184 acc:67.14 | val loss:1.277 acc:76.80
Epoch:0115 train loss:1.244 acc:72.14 | val loss:1.271 acc:77.00
Epoch:0116 train loss:1.291 acc:57.14 | val loss:1.265 acc:78.00
Epoch:0117 train loss:1.195 acc:66.43 | val loss:1.257 acc:78.80
Epoch:0118 train loss:1.147 acc:75.00 | val loss:1.248 acc:79.60
Epoch:0119 train loss:1.210 acc:63.57 | val loss:1.242 acc:80.20
Epoch:0120 train loss:1.218 acc:67.86 | val loss:1.239 acc:80.00
Epoch:0121 train loss:1.256 acc:56.43 | val loss:1.236 acc:80.60
Epoch:0122 train loss:1.141 acc:72.86 | val loss:1.236 acc:80.60
Epoch:0123 train loss:1.113 acc:74.29 | val loss:1.235 acc:80.60
Epoch:0124 train loss:1.268 acc:70.00 | val loss:1.230 acc:80.20
Epoch:0125 train loss:1.206 acc:65.71 | val loss:1.223 acc:80.40
Epoch:0126 train loss:1.175 acc:67.14 | val loss:1.215 acc:80.60
Epoch:0127 train loss:1.153 acc:64.29 | val loss:1.208 acc:81.20
Epoch:0128 train loss:1.202 acc:71.43 | val loss:1.202 acc:80.80
